,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3427,250000.0,1598.0,Comprehensive,Manual,60000.0,First Owner,Diesel,103.6,5.0,20.54,Sedan,Kolkata,2011,Volkswagen Vento,12.0
3428,450000.0,1591.0,Comprehensive,Manual,41000.0,First Owner,Petrol,121.3,5.0,17.01,Sedan,Kolkata,2015,Hyundai Verna,8.0
3429,475000.0,1197.0,Comprehensive,Manual,12000.0,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Kolkata,2018,Hyundai Grand,5.0
3431,1350000.0,1353.0,Comprehensive,Manual,23000.0,First Owner,Petrol,138.08,5.0,16.5,SUV,Kolkata,2020,Kia Seltos,3.0
3432,99999.0,1248.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,73.9,5.0,21.1,Hatchback,Kolkata,2010,Maruti Ritz,13.0
3433,570000.0,1248.0,Comprehensive,Manual,65200.0,Second Owner,Diesel,88.5,7.0,24.52,MUV,Kolkata,2016,Maruti Ertiga,7.0
3434,575000.0,1197.0,Comprehensive,Manual,9000.0,First Owner,Petrol,81.86,5.0,18.6,Hatchback,Kolkata,2019,Hyundai i20,4.0
3436,550000.0,1498.0,Comprehensive,Manual,32812.0,Second Owner,Petrol,104.5,5.0,14.99,SUV,Kolkata,2018,Renault Duster,5.0
3438,1650000.0,1493.0,Comprehensive,Manual,19511.0,First Owner,Diesel,113.98,7.0,20.4,SUV,Kolkata,2022,Hyundai Alcazar,1.0
3441,545000.0,1493.0,Third Party insurance,Manual,64000.0,Second Owner,Diesel,70.0,7.0,16.5,SUV,Kolkata,2016,Mahindra Bolero,7.0
3442,650000.0,1199.0,Third Party insurance,Automatic,22658.0,First Owner,Petrol,88.5,5.0,18.3,Sedan,Kolkata,2021,Honda Amaze,2.0
3443,335000.0,1198.0,Third Party insurance,Manual,42000.0,First Owner,Petrol,82.0,5.0,18.15,Hatchback,Kolkata,2018,Mahindra KUV,5.0
3444,400000.0,1248.0,Third Party insurance,Manual,85000.0,First Owner,Diesel,88.76,7.0,20.77,MUV,Kolkata,2013,Maruti Ertiga,10.0
3445,450000.0,1582.0,Third Party insurance,Automatic,54000.0,First Owner,Diesel,126.2,5.0,19.08,Sedan,Kolkata,2015,Hyundai Verna,8.0
3447,1395000.0,1462.0,Third Party,Automatic,9000.0,First Owner,Petrol,101.65,6.0,20.27,MUV,Kolkata,2022,Maruti XL6,1.0
3448,1385000.0,1353.0,Third Party,Automatic,26000.0,First Owner,Petrol,138.08,5.0,16.5,SUV,Kolkata,2020,Kia Seltos,3.0
3451,470000.0,1498.0,Comprehensive,Manual,48000.0,First Owner,Diesel,98.6,5.0,26.0,Sedan,Kolkata,2014,Honda City,9.0
3452,725000.0,1591.0,Comprehensive,Manual,55000.0,First Owner,Petrol,121.3,5.0,15.29,SUV,Kolkata,2018,Hyundai Creta,5.0
3453,395000.0,1198.0,Comprehensive,Manual,49000.0,First Owner,Petrol,86.7,5.0,17.8,Sedan,Kolkata,2016,Honda Amaze,7.0
3455,465000.00000000006,1461.0,Comprehensive,Manual,58000.0,First Owner,Diesel,83.8,5.0,19.87,SUV,Kolkata,2016,Renault Duster,7.0
3456,575000.0,998.0,Comprehensive,Manual,22000.0,First Owner,Petrol,65.71,5.0,24.97,Hatchback,Kolkata,2022,Maruti Celerio,1.0
3457,455000.0,999.0,Comprehensive,Manual,5000.0,First Owner,Petrol,67.0,5.0,21.74,Hatchback,Kolkata,2022,Renault KWID,1.0
3458,1550000.0,1493.0,Comprehensive,Manual,14000.0,First Owner,Diesel,113.42,7.0,20.4,SUV,Kolkata,2021,Hyundai Alcazar,2.0
3461,392000.0,1197.0,Third Party,Manual,70000.0,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Kolkata,2018,Hyundai Grand,5.0
3464,600000.0,1498.0,Third Party insurance,Manual,65000.0,First Owner,Diesel,98.6,5.0,26.0,Sedan,Kolkata,2017,Honda City,6.0
3465,225000.0,1498.0,Third Party insurance,Manual,65000.0,First Owner,Diesel,98.6,5.0,25.8,Sedan,Kolkata,2013,Honda Amaze,10.0
3467,235000.0,1298.0,Third Party insurance,Manual,74000.0,First Owner,Petrol,85.8,5.0,17.5,Sedan,Kolkata,2010,Maruti Swift,13.0
3470,599000.0,1248.0,Comprehensive,Manual,65000.0,First Owner,Diesel,73.9,5.0,19.3,Sedan,Kolkata,2018,Maruti Swift,5.0
3471,599000.0,1591.0,Comprehensive,Manual,69150.0,First Owner,Petrol,121.3,5.0,15.29,SUV,Kolkata,2016,Hyundai Creta,7.0
3474,250000.0,1497.0,Third Party insurance,Manual,55000.0,First Owner,Petrol,117.3,5.0,17.4,Sedan,Kolkata,2014,Honda City,9.0
3476,1025000.0,1197.0,Third Party insurance,Automatic,25000.0,First Owner,Petrol,108.62,5.0,16.5,SUV,Kolkata,2021,Mahindra XUV300,2.0
